production_item_id;first_cut_length;intermediate_cut_length;length;actual_length;creation_date;modification_date;Status;cutting_slip_id;Shape;Profile;spceLenght;weight_lbs_per_foot;width;StartDateTime;EndDateTime;DateDiff;prod_date;prod_day;start_time;end_time;prod_delta_s;bridge_s
30009;9.525;9.525;12192;12231;2022-07-08 14:56;2022-07-17 06:27;COMPLETED;30009;C8X11.5;Channel;2988;11.34;203.2;2022-07-08 14:57;2022-07-08 15:04;7       ;2022-07-08;8;14:57:41;15:04:25;403.85;696.5890004
30009;9.525;9.525;12192;12231;2022-07-08 14:56;2022-07-17 06:27;COMPLETED;30009;C8X11.5;Channel;2988;11.34;203.2;2022-07-08 15:04;2022-07-08 15:10;6       ;2022-07-08;8;15:04:25;15:10:32;366.57;0
30009;9.525;9.525;12192;12231;2022-07-08 14:56;2022-07-17 06:27;COMPLETED;30009;C8X11.5;Channel;2988;11.34;203.2;2022-07-08 15:10;2022-07-08 15:16;6       ;2022-07-08;8;15:10:32;15:16:28;355.79;0
30009;9.525;9.525;12192;12231;2022-07-08 14:56;2022-07-17 06:27;COMPLETED;30009;C8X11.5;Channel;2988;11.34;203.2;2022-07-08 15:16;2022-07-08 15:23;7       ;2022-07-08;8;15:16:28;15:23:10;402.53;0
30010;9.525;9.525;12192;12239;2022-07-08 15:25;2022-07-17 06:27;COMPLETED;30010;C8X11.5;Channel;2988;11.34;203.2;2022-07-08 15:26;2022-07-08 15:33;7       ;2022-07-08;8;15:26:57;15:33:15;378.02;226.7289999
30010;9.525;9.525;12192;12239;2022-07-08 15:25;2022-07-17 06:27;COMPLETED;30010;C8X11.5;Channel;2988;11.34;203.2;2022-07-08 15:33;2022-07-08 15:39;6       ;2022-07-08;8;15:33:15;15:39:20;365.41;0
30010;9.525;9.525;12192;12239;2022-07-08 15:25;2022-07-17 06:27;COMPLETED;30010;C8X11.5;Channel;2988;11.34;203.2;2022-07-08 15:39;2022-07-08 15:45;6       ;2022-07-08;8;15:39:20;15:45:22;361.83;0
30010;9.525;9.525;12192;12239;2022-07-08 15:25;2022-07-17 06:27;COMPLETED;30010;C8X11.5;Channel;2988;11.34;203.2;2022-07-08 15:45;2022-07-08 15:52;7       ;2022-07-08;8;15:45:22;15:52:02;400.16;0
40005;9.525;9.525;12192;12236;2022-07-09 06:10;2022-07-17 06:27;COMPLETED;40005;C8X11.5;Channel;2988;11.34;203.2;2022-07-09 06:19;2022-07-09 06:40;21      ;2022-07-09;9;06:19:12;06:40:24;1272.04;0
40005;9.525;9.525;12192;12236;2022-07-09 06:10;2022-07-17 06:27;COMPLETED;40005;C8X11.5;Channel;2988;11.34;203.2;2022-07-09 06:40;2022-07-09 06:48;8       ;2022-07-09;9;06:40:25;06:48:01;456.58;0
40005;9.525;9.525;12192;12236;2022-07-09 06:10;2022-07-17 06:27;COMPLETED;40005;C8X11.5;Channel;2988;11.34;203.2;2022-07-09 06:48;2022-07-09 07:00;12      ;2022-07-09;9;06:48:01;07:00:25;743.33;0
40005;9.525;9.525;12192;12236;2022-07-09 06:10;2022-07-17 06:27;COMPLETED;40005;C8X11.5;Channel;2988;11.34;203.2;2022-07-09 07:00;2022-07-09 07:07;7       ;2022-07-09;9;07:00:25;07:07:13;408.62;0
40006;9.525;9.525;12192;12236;2022-07-09 07:08;2022-07-17 06:27;COMPLETED;40006;C8X11.5;Channel;2988;11.34;203.2;2022-07-09 07:09;2022-07-09 07:15;6       ;2022-07-09;9;07:09:38;07:15:42;363.56;145.2070001
40006;9.525;9.525;12192;12236;2022-07-09 07:08;2022-07-17 06:27;COMPLETED;40006;C8X11.5;Channel;2988;11.34;203.2;2022-07-09 07:15;2022-07-09 07:21;6       ;2022-07-09;9;07:15:42;07:21:47;365.36;0
40006;9.525;9.525;12192;12236;2022-07-09 07:08;2022-07-17 06:27;COMPLETED;40006;C8X11.5;Channel;2988;11.34;203.2;2022-07-09 07:21;2022-07-09 07:27;6       ;2022-07-09;9;07:21:47;07:27:51;363.58;0
40007;9.525;9.525;12192;12243;2022-07-09 07:35;2022-07-17 06:27;COMPLETED;40007;C8X11.5;Channel;2988;11.34;203.2;2022-07-09 07:36;2022-07-09 07:43;7       ;2022-07-09;9;07:36:49;07:43:01;372.02;537.5999997
40007;9.525;9.525;12192;12243;2022-07-09 07:35;2022-07-17 06:27;COMPLETED;40007;C8X11.5;Channel;2988;11.34;203.2;2022-07-09 07:43;2022-07-09 07:49;6       ;2022-07-09;9;07:43:01;07:49:01;360.55;0
40007;9.525;9.525;12192;12243;2022-07-09 07:35;2022-07-17 06:27;COMPLETED;40007;C8X11.5;Channel;2988;11.34;203.2;2022-07-09 07:49;2022-07-09 07:55;6       ;2022-07-09;9;07:49:01;07:55:04;363.07;0
40007;9.525;9.525;12192;12243;2022-07-09 07:35;2022-07-17 06:27;COMPLETED;40007;C8X11.5;Channel;2988;11.34;203.2;2022-07-09 07:55;2022-07-09 08:01;6       ;2022-07-09;9;07:55:04;08:01:39;394.76;0
40008;9.525;9.525;12192;12244;2022-07-09 08:02;2022-07-17 06:27;COMPLETED;40008;C8X11.5;Channel;2988;11.34;203.2;2022-07-09 08:15;2022-07-09 08:23;8       ;2022-07-09;9;08:15:59;08:23:34;454.85;859.7679999
40008;9.525;9.525;12192;12244;2022-07-09 08:02;2022-07-17 06:27;COMPLETED;40008;C8X11.5;Channel;2988;11.34;203.2;2022-07-09 08:23;2022-07-09 08:30;7       ;2022-07-09;9;08:23:34;08:30:24;410.29;0
40008;9.525;9.525;12192;12244;2022-07-09 08:02;2022-07-17 06:27;COMPLETED;40008;C8X11.5;Channel;2988;11.34;203.2;2022-07-09 08:30;2022-07-09 08:36;6       ;2022-07-09;9;08:30:25;08:36:49;384.60;0
40008;9.525;9.525;12192;12244;2022-07-09 08:02;2022-07-17 06:27;COMPLETED;40008;C8X11.5;Channel;2988;11.34;203.2;2022-07-09 08:36;2022-07-09 08:45;9       ;2022-07-09;9;08:36:49;08:45:59;549.58;0
60019;9.525;9.525;12192;12242;2022-07-15 06:37;2022-07-18 16:04;COMPLETED;60019;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 06:39;2022-07-15 06:56;17      ;2022-07-15;15;06:39:18;06:56:40;1042.27;0
60019;9.525;9.525;12192;12242;2022-07-15 06:37;2022-07-18 16:04;COMPLETED;60019;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 06:56;2022-07-15 07:02;6       ;2022-07-15;15;06:56:40;07:02:43;362.96;0
60019;9.525;9.525;12192;12242;2022-07-15 06:37;2022-07-18 16:04;COMPLETED;60019;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 07:02;2022-07-15 07:08;6       ;2022-07-15;15;07:02:43;07:08:46;363.56;0
60019;9.525;9.525;12192;12242;2022-07-15 06:37;2022-07-18 16:04;COMPLETED;60019;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 07:08;2022-07-15 07:16;8       ;2022-07-15;15;07:08:46;07:16:41;474.68;0
60020;9.525;9.525;12192;12234;2022-07-15 07:22;2022-07-18 09:20;COMPLETED;60020;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 07:24;2022-07-15 07:38;14      ;2022-07-15;15;07:24:37;07:38:01;804.56;475.7839996
60020;9.525;9.525;12192;12234;2022-07-15 07:22;2022-07-18 09:20;COMPLETED;60020;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 07:38;2022-07-15 07:44;6       ;2022-07-15;15;07:38:01;07:44:08;366.62;0
60020;9.525;9.525;12192;12234;2022-07-15 07:22;2022-07-18 09:20;COMPLETED;60020;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 07:44;2022-07-15 08:05;21      ;2022-07-15;15;07:44:08;08:05:33;1285.20;0
60020;9.525;9.525;12192;12234;2022-07-15 07:22;2022-07-18 09:20;COMPLETED;60020;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 08:05;2022-07-15 08:11;6       ;2022-07-15;15;08:05:33;08:11:40;366.54;0
60021;9.525;9.525;12192;12242;2022-07-15 08:21;2022-07-18 09:20;COMPLETED;60021;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 08:23;2022-07-15 08:29;6       ;2022-07-15;15;08:23:37;08:29:55;378.00;717.6199999
60021;9.525;9.525;12192;12242;2022-07-15 08:21;2022-07-18 09:20;COMPLETED;60021;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 08:29;2022-07-15 09:17;48      ;2022-07-15;15;08:29:55;09:17:39;2863.18;0
60021;9.525;9.525;12192;12242;2022-07-15 08:21;2022-07-18 09:20;COMPLETED;60021;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 09:17;2022-07-15 09:23;6       ;2022-07-15;15;09:17:39;09:23:48;369.57;0
60021;9.525;9.525;12192;12242;2022-07-15 08:21;2022-07-18 09:20;COMPLETED;60021;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 09:23;2022-07-15 09:29;6       ;2022-07-15;15;09:23:48;09:29:51;362.37;0
60022;9.525;9.525;12192;12240;2022-07-15 10:14;2022-07-18 09:20;COMPLETED;60022;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 10:16;2022-07-15 10:22;6       ;2022-07-15;15;10:16:10;10:22:19;369.03;2779.152
60022;9.525;9.525;12192;12240;2022-07-15 10:14;2022-07-18 09:20;COMPLETED;60022;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 10:22;2022-07-15 10:29;7       ;2022-07-15;15;10:22:19;10:29:12;412.90;0
60022;9.525;9.525;12192;12240;2022-07-15 10:14;2022-07-18 09:20;COMPLETED;60022;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 10:29;2022-07-15 10:52;23      ;2022-07-15;15;10:29:12;10:52:47;1415.29;0
60023;9.525;9.525;12192;12239;2022-07-15 11:03;2022-07-18 09:20;COMPLETED;60023;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 11:04;2022-07-15 11:14;10      ;2022-07-15;15;11:04:18;11:14:33;615.02;691.1589994
60023;9.525;9.525;12192;12239;2022-07-15 11:03;2022-07-18 09:20;COMPLETED;60023;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 11:14;2022-07-15 11:20;6       ;2022-07-15;15;11:14:34;11:20:42;368.45;0
60023;9.525;9.525;12192;12239;2022-07-15 11:03;2022-07-18 09:20;COMPLETED;60023;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 11:20;2022-07-15 11:29;9       ;2022-07-15;15;11:20:42;11:29:11;508.74;0
60023;9.525;9.525;12192;12239;2022-07-15 11:03;2022-07-18 09:20;COMPLETED;60023;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 11:29;2022-07-15 11:35;6       ;2022-07-15;15;11:29:12;11:35:18;366.68;0
60024;9.525;9.525;12192;12231;2022-07-15 11:41;2022-07-18 09:20;COMPLETED;60024;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 11:42;2022-07-15 11:49;7       ;2022-07-15;15;11:42:58;11:49:41;402.64;460.1219995
60024;9.525;9.525;12192;12231;2022-07-15 11:41;2022-07-18 09:20;COMPLETED;60024;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 11:49;2022-07-15 12:37;48      ;2022-07-15;15;11:49:41;12:37:40;2878.79;0
60024;9.525;9.525;12192;12231;2022-07-15 11:41;2022-07-18 09:20;COMPLETED;60024;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 12:37;2022-07-15 12:48;11      ;2022-07-15;15;12:37:40;12:48:58;678.50;0
60024;9.525;9.525;12192;12231;2022-07-15 11:41;2022-07-18 09:20;COMPLETED;60024;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 12:48;2022-07-15 13:01;13      ;2022-07-15;15;12:48:58;13:01:37;758.45;0
60025;9.525;9.525;12192;12230;2022-07-15 13:07;2022-07-18 09:20;COMPLETED;60025;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 13:25;2022-07-15 13:27;2       ;2022-07-15;15;13:25:51;13:27:58;127.00;1453.669
60025;9.525;9.525;12192;12230;2022-07-15 13:07;2022-07-18 09:20;COMPLETED;60025;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 13:27;2022-07-15 13:50;23      ;2022-07-15;15;13:27:58;13:50:02;1324.24;0
60025;9.525;9.525;12192;12230;2022-07-15 13:07;2022-07-18 09:20;COMPLETED;60025;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 13:50;2022-07-15 14:02;12      ;2022-07-15;15;13:50:02;14:02:50;767.37;0
60025;9.525;9.525;12192;12230;2022-07-15 13:07;2022-07-18 09:20;COMPLETED;60025;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 14:02;2022-07-15 14:09;7       ;2022-07-15;15;14:02:50;14:09:25;395.36;0
70019;9.525;9.525;12192;12238;2022-07-15 14:17;2022-07-18 09:20;COMPLETED;70019;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 14:22;2022-07-15 14:29;7       ;2022-07-15;15;14:22:51;14:29:02;370.24;806.344
70019;9.525;9.525;12192;12238;2022-07-15 14:17;2022-07-18 09:20;COMPLETED;70019;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 14:29;2022-07-15 14:35;6       ;2022-07-15;15;14:29:02;14:35:15;373.18;0
70019;9.525;9.525;12192;12238;2022-07-15 14:17;2022-07-18 09:20;COMPLETED;70019;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 14:35;2022-07-15 14:42;7       ;2022-07-15;15;14:35:15;14:42:22;426.57;0
70019;9.525;9.525;12192;12238;2022-07-15 14:17;2022-07-18 09:20;COMPLETED;70019;C8X11.5;Channel;2988;11.34;203.2;2022-07-15 14:42;2022-07-15 14:49;7       ;2022-07-15;15;14:42:22;14:49:05;403.18;0
80019;9.525;9.525;12192;12245;2022-07-16 06:00;2022-07-18 09:20;COMPLETED;80019;C8X11.5;Channel;2988;11.34;203.2;2022-07-16 06:01;2022-07-16 06:09;8       ;2022-07-16;16;06:01:55;06:09:17;441.45;0
80019;9.525;9.525;12192;12245;2022-07-16 06:00;2022-07-18 09:20;COMPLETED;80019;C8X11.5;Channel;2988;11.34;203.2;2022-07-16 06:09;2022-07-16 06:15;6       ;2022-07-16;16;06:09:17;06:15:26;369.03;0
80019;9.525;9.525;12192;12245;2022-07-16 06:00;2022-07-18 09:20;COMPLETED;80019;C8X11.5;Channel;2988;11.34;203.2;2022-07-16 06:15;2022-07-16 06:27;12      ;2022-07-16;16;06:15:26;06:27:59;753.61;0
80019;9.525;9.525;12192;12245;2022-07-16 06:00;2022-07-18 09:20;COMPLETED;80019;C8X11.5;Channel;2988;11.34;203.2;2022-07-16 06:27;2022-07-16 06:36;9       ;2022-07-16;16;06:27:59;06:36:18;499.08;0
80020;9.525;9.525;12192;12228;2022-07-16 06:37;2022-07-18 09:20;COMPLETED;80020;C8X11.5;Channel;2988;11.34;203.2;2022-07-16 06:39;2022-07-16 06:49;10      ;2022-07-16;16;06:39:05;06:49:24;619.12;166.2909998
80020;9.525;9.525;12192;12228;2022-07-16 06:37;2022-07-18 09:20;COMPLETED;80020;C8X11.5;Channel;2988;11.34;203.2;2022-07-16 06:49;2022-07-16 06:56;7       ;2022-07-16;16;06:49:24;06:56:13;409.24;0
80020;9.525;9.525;12192;12228;2022-07-16 06:37;2022-07-18 09:20;COMPLETED;80020;C8X11.5;Channel;2988;11.34;203.2;2022-07-16 06:56;2022-07-16 07:03;7       ;2022-07-16;16;06:56:13;07:03:03;410.34;0
80020;9.525;9.525;12192;12228;2022-07-16 06:37;2022-07-18 09:20;COMPLETED;80020;C8X11.5;Channel;2988;11.34;203.2;2022-07-16 07:03;2022-07-16 07:10;7       ;2022-07-16;16;07:03:03;07:10:48;464.42;0
80022;9.525;9.525;12192;12239;2022-07-16 07:45;2022-07-18 09:20;COMPLETED;80022;C8X11.5;Channel;2988;11.34;203.2;2022-07-16 07:49;2022-07-16 07:55;6       ;2022-07-16;16;07:49:05;07:55:54;409.14;2296.858
80022;9.525;9.525;12192;12239;2022-07-16 07:45;2022-07-18 09:20;COMPLETED;80022;C8X11.5;Channel;2988;11.34;203.2;2022-07-16 07:55;2022-07-16 08:02;7       ;2022-07-16;16;07:55:54;08:02:56;422.36;0
